Model,Creator,License,"Context
 Window","Artificial Analysis
 Intelligence Index",MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),Humanity's Last Exam (Reasoning & Knowledge),LiveCodeBench (Coding),SciCode (Coding),HumanEval (Coding),MATH-500 (Quantitative Reasoning),AIME 2024 (Competition Math),Multilingual Index (Artificial Analysis),Chatbot Arena,"Blended
 USD/1M Tokens","Median
 Tokens/s","P5
 Tokens/s","P25
 Tokens/s","P75
 Tokens/s","P95
 Tokens/s","Median
 First Chunk (s)","First Answer
 Token (s)","P5
 First Chunk (s)","P25
 First Chunk (s)","P75
 First Chunk (s)","P95
 First Chunk (s)","Total
 Response (s)","Reasoning
 Time (s)",Reasoning_TF,"Further
 Analysis",Release Date,Parameters,Known Active Parameters,Latency,token/s,Chinese,Notes,Unnamed: 43,input_tokens_epoch_gpqa,output_tokens_epoch_gpqa,epoch_gpqa,cache_read_gpqa,cache_output_gpqa,reasoning tokens,total_tokens_?,input tokens swe,output tokens swe,cache reads swe,cache write swe,total,epoch_swe,Unnamed: 58,Unnamed: 59,input tokens frontier,output tokens frontier,cache read tokens frontier,cache write tokens frontier,frontier accuracy,Notes.1,input tokens AIME,output tokens AIME,cache reads AIME,epoch_AIME,epoch_AIME_16,epoch_AIME_nosamp,grader_tokens_input,grader_tokens_output,notes,HAL/GAIA,"Input Price
USD/1M Tokens","Output Price
USD/1M Tokens",Benchmark Cost USD,Blended Price (3:1) USD/1M Tokens
GPT-4o (Nov '24) 11/01/2024,,Proprietary,128k,41,75%,54%,3%,31%,33%,90%,76%,15%,84%,1361.0,,144.3,62.0,115.8,161.6,185.3,0.56,0.56,0.48,0.51,0.62,0.74,4.02,0.0,,ModelProviders,11/01/2024,,,,,,,,825712.0,2344886.0,47.90%,,,,,259000000.0,1260000.0,221000000.0,0.0,260000000.0,25.40%,,,161698.0,23118.0,,,,,130752.0,687990.0,,6.30%,26.70%,,,,,,2.5,10.0,7.20678,4.375
Gemini 2.0 Flash 02/01/2025,,Proprietary,1m,48,78%,62%,5%,33%,31%,95%,93%,33%,,,,242.0,228.9,236.0,255.8,267.4,0.33,0.33,0.26,0.3,0.38,0.41,2.4,0.0,,ModelProviders,02/01/2025,,,,,,,,806400.0,1940000.0,64.10%,,,,,234994473.0,1407067.0,0.0,0.0,241401540.0,22.00%,,,,,,,,,131472.0,1186729.0,,31.10%,51.10%,,,,,19.39%,0.1,0.4,0.4878388000000001,0.17500000000000002
GPT-4.1 mini 04/01/2025,,Proprietary,1m,53,78%,66%,5%,48%,40%,99%,93%,43%,,,,168.5,78.9,109.2,224.1,263,0.42,0.42,0.28,0.36,0.53,0.68,3.39,0.0,,ModelProviders,04/01/2025,,,,,,,,412872.0,1564579.0,65.80%,8448,,,,196000000.0,1490000.0,107000000.0,0.0,,32.80%,,,50028.0,29713.0,25600.0,,10%,,65376.0,1774741.0,,,,44.70%,,,epoch switched from aime16 to not aime,,0.4,1.6,2.865736,0.7000000000000001
o3-mini 03/01/2025,,Proprietary,200k,63,79%,75%,9%,72%,40%,45%,97%,77%,,,,186.1,75.7,155.4,211.6,295,13.83,13.83,8.93,11.01,17.1,24.78,16.52,0.0,,ModelProviders,03/01/2025,,,,,,,,822544.0,9842434.0,74.30%,,,,,100000000.0,8490000.0,70000000.0,0.0,108000000.0,37.80%,,,,,,,,,65016.0,4697771.0,,,,76.90%,507246.0,886.0,2.0flash,,1.1,4.4,20.74171,1.9250000000000003
Claude 3.7 Sonnet 04/01/2025,,Proprietary,200k,48,80%,66%,5%,39%,38%,96%,85%,22%,,,,76.0,49.3,66.8,78.9,81.6,1.12,1.12,0.72,0.89,1.48,2.54,7.7,0.0,,ModelProviders,04/01/2025,,,,,,epoch does notdistinguish claude thinking vs not,,468048.0,927915.0,66.00%,,,,,77585.0,3125503.0,330964674.0,15537148.0,,52.20%,,,,,,,,,144848.0,1050431.0,,21.90%,51.10%,,1059207.0,2564.0,,36.97%,2.0,8.0,8.693143999999998,3.5
Claude 3.5 Sonnet (Oct) 10/01/2024,,Proprietary,200k,44,77%,60%,4%,38%,37%,68%,77%,16%,88%,1282.0,,77.8,66.2,70.8,81.2,82.7,1.0,1.0,0.66,0.76,1.4,3.84,7.43,0.0,,ModelProviders,10/01/2024,,,,,,,,936096.0,1117486.0,40.59%,,,,,36370.0,1390000.0,99600000.0,9900000.0,,46.60%,,,,,,,,assume same price ,144848.0,413730.0,,8.50%,31.10%,,469110.0,2758.0,,,3.0,15.0,6.6404939999999995,6.0
o1 12/01/2024,,Proprietary,200k,62,84%,75%,8%,68%,36%,87%,97%,72%,88%,,,64.9,29.9,48.7,74.1,82.2,44.43,44.43,32.67,39.73,52.08,100.52,52.14,0.0,,ModelProviders,12/01/2024,,,,,,,,51410.0,1258852.0,76.80%,,,,,,,,,,,,,,,,,,,8127.0,487905.0,,,,73.30%,53772.0,114.0,,,15.0,60.0,29.396205000000002,26.25
DeepSeek R1 01/01/2025,,Open,128k,60,84%,71%,9%,62%,36%,94%,97%,68%,,,,23.0,21.8,22.4,30.3,36,3.25,105.36,2.61,2.97,4.33,8.35,127.11,102.1,True,ModelProviders,01/01/2025,635.0,37.0,,,True,,,392064.0,12579258.0,66.70%,,,,,,,,,,,,,,,,,,,7889.0,485437.0,,,53.30%,,79224.0,132.0,doesn't mention sample number,24.85%,2.0,2.5,1.2293705000000001,2.125
DeepSeek R1 03/01/2025,,Open,128k,60,84%,71%,9%,62%,36%,94%,97%,68%,,,,23.0,21.8,22.4,30.3,36,3.25,105.36,2.61,2.97,4.33,8.35,127.11,102.1,True,ModelProviders,03/01/2025,635.0,37.0,,,True,,,392064.0,12579258.0,66.70%,,,,,,,,,,,,,,,,,,,7889.0,485437.0,,,53.30%,,79224.0,132.0,doesn't mention sample number,24.85%,0.55,2.19,1.06744598,0.96
o1-mini 09/01/2024,,Proprietary,128k,54,74%,60%,5%,58%,32%,69%,94%,60%,83%,1308.0,,214.4,95.3,188.1,227.3,241.2,9.97,9.97,2.29,8.25,11.5,14.52,12.3,0.0,,ModelProviders,09/01/2024,,,,,,epoch has multiple o1 minis,,859744.0,5597033.0,59.50%,,,,,,,,,,,,,,,,,,,67488.0,3174720.0,,,,44.70%,250037.0,1118.0,2.0flash,,1.1,4.4,14.043004800000002,1.9250000000000003
