AI System,Author,System Type,ARC-AGI-1,ARC-AGI-2,Cost/Task,Code / Paper
Human Panel,Human,N/A,98.00%,100.00%,$17.00 ,—
GPT-5.2 Pro (High),OpenAI,CoT,85.70%,54.20%,$15.72 ,—
Gemini 3 Pro (Refine.),Poetiq,Refinement,N/A,54.00%,$30.57 ,—
GPT-5.2 (X-High),OpenAI,CoT,86.20%,52.90%,$1.90 ,—
Gemini 3 Deep Think (Preview) ²,Google,CoT,87.50%,45.10%,$77.16 ,—
GPT-5.2 (High),OpenAI,CoT,78.70%,43.30%,$1.39 ,—
GPT-5.2 Pro (Medium),OpenAI,CoT,81.20%,38.50%,$8.99 ,—
"Opus 4.5 (Thinking, 64K)",Anthropic,CoT,80.00%,37.60%,$2.40 ,—
Gemini 3 Flash Preview (High),Google,CoT,84.70%,33.60%,$0.23 ,—
Gemini 3 Pro,Google,CoT,75.00%,31.10%,$0.81 ,—
"Opus 4.5 (Thinking, 32K)",Anthropic,CoT,75.80%,30.60%,$1.29 ,—
Grok 4 (Refine.),J. Berman,Refinement,79.60%,29.40%,$30.40 ,💻
NVARC,ARC Prize 2025,Custom,N/A,27.60%,$0.20 ,📄💻
GPT-5.2 (Medium),OpenAI,CoT,72.70%,26.70%,$0.76 ,—
Grok 4 (Refine.),E. Pang,Refinement,77.10%,26.00%,$3.97 ,💻
"Opus 4.5 (Thinking, 16K)",Anthropic,CoT,72.00%,22.80%,$0.79 ,—
GPT-5 Pro,OpenAI,CoT,70.20%,18.30%,$7.14 ,📄
"GPT-5.1 (Thinking, High)",OpenAI,CoT,72.80%,17.60%,$1.17 ,—
Grok 4 (Thinking),xAI,CoT,66.70%,16.00%,$2.17 ,📄
"Opus 4.5 (Thinking, 8K)",Anthropic,CoT,58.70%,13.90%,$0.48 ,—
Claude Sonnet 4.5 (Thinking 32K),Anthropic,CoT,63.70%,13.60%,$0.76 ,📄
Gemini 3 Flash Preview (Medium),Google,CoT,57.70%,12.80%,$0.08 ,—
GPT-5 (High),OpenAI,CoT,65.70%,9.90%,$0.73 ,—
GPT-5.2 (Low),OpenAI,CoT,55.70%,9.70%,$0.26 ,—
"Opus 4.5 (Thinking, 1K)",Anthropic,CoT,35.20%,9.40%,$0.23 ,—
Claude Opus 4 (Thinking 16K),Anthropic,CoT,35.70%,8.60%,$1.93 ,📄
"Opus 4.5 (Thinking, None)",Anthropic,Base LLM,40.00%,7.80%,$0.22 ,—
GPT-5 (Medium),OpenAI,CoT,56.20%,7.50%,$0.45 ,—
Claude Sonnet 4.5 (Thinking 8K),Anthropic,CoT,46.50%,6.90%,$0.24 ,📄
Claude Sonnet 4.5 (Thinking 16K),Anthropic,CoT,48.30%,6.90%,$0.35 ,📄
