Benchmark,Budget Threshold,Threshold_Value,N_dates,Time Coef (logits/yr),Std Error,p-value,95% CI Lower,95% CI Upper,R²,Mean Best Score (%),Last Best Score (%),Max Best Score (%)
GPQA-D,≤ $0.01,0.01,18,0.10617059772209267,1.7045422676562147e-16,0.0,0.10617059772209231,0.10617059772209303,1.0,26.91944444444444,27.46,27.46
GPQA-D,≤ $0.05,0.05,18,1.3854199725526157,0.10116309143732805,2.9676816559742747e-10,1.1709637989290442,1.5998761461761872,0.9213955072638477,52.912777777777784,67.0,67.0
GPQA-D,≤ $0.10,0.1,18,1.2864743600616608,0.04932238506618997,1.554312234475219e-14,1.1819155745896255,1.3910331455336962,0.9770221049598684,55.95055555555555,67.0,67.0
GPQA-D,≤ $0.50,0.5,18,1.0625696030925604,0.048966018422143015,2.708944180085382e-13,0.9587662811577058,1.166372925027415,0.9671387869511261,59.405,70.7,70.7
GPQA-D,≤ $1.00,1.0,18,6.299042866291267,0.2200830647789555,3.552713678800501e-15,5.832487610997559,6.765598121584976,0.9808423032733294,67.125,70.7,70.7
GPQA-D,≤ $2.00,2.0,18,0.290581716498125,0.07876094958433487,0.0019862821549263554,0.12361596210261458,0.45754747089363534,0.45967435792108435,70.13333333333334,76.3,76.3
GPQA-D,≤ $5.00,5.0,18,0.4428543241566357,0.06520794453303887,4.331593368878117e-06,0.30461965698973686,0.5810889913235346,0.7424478503707634,71.61111111111111,76.3,76.3
GPQA-D,≤ $10.00,10.0,18,0.8633458911802067,0.05022821395448332,9.753975405146775e-12,0.7568668342476907,0.9698249481127226,0.9486262869295472,74.93333333333334,85.4,85.4
GPQA-D,≤ $20.00,20.0,18,0.889146430755265,0.05251951392788554,1.2284173678267507e-11,0.7778100348670287,1.0004828266435013,0.9471282609643378,75.31111111111112,86.2,86.2
GPQA-D,≤ $50.00,50.0,18,0.9030096242721228,0.04979912414046006,4.311218049224408e-12,0.7974401971101965,1.0085790514340491,0.9535972597458312,75.47222222222223,86.2,86.2
SWE-Bench,≤ $50.00,50.0,8,3.069928456570224,0.49221160889134447,0.0007863590750158966,1.8655300375028605,4.274326875637588,0.8663705643045806,40.949999999999996,57.8,57.8
AIME,≤ $0.01,0.01,18,3.474317093470904,0.09152625688525758,0.0,3.2802900964819828,3.6683440904598252,0.9890181191421338,10.949999999999998,19.7,19.7
AIME,≤ $0.05,0.05,18,3.3437326675596415,0.22222617741997627,7.293965431642846e-11,2.872634216421405,3.814831118697878,0.93399286588226,19.26666666666667,31.1,31.1
AIME,≤ $0.10,0.1,18,4.214616914576771,0.3177201965149549,4.753439863947051e-10,3.541080186315177,4.888153642838365,0.9166515209034378,32.58888888888888,70.8,70.8
AIME,≤ $0.50,0.5,18,3.50097026173399,0.22717562535012692,5.091616017693923e-11,3.019379449700409,3.982561073767571,0.936882235615551,41.1,74.2,74.2
AIME,≤ $1.00,1.0,18,3.59660907375919,0.184990056326126,1.4794832026154836e-12,3.204447673050242,3.988770474468138,0.9593906747468467,42.483333333333334,81.1,81.1
AIME,≤ $2.00,2.0,18,3.664963017287538,0.2822894283152519,6.522569151456992e-10,3.0665361622879654,4.26338987228711,0.9133064945780827,65.74444444444445,86.7,86.7
AIME,≤ $5.00,5.0,18,2.351927641581611,0.31978264783510635,1.6220063379090988e-06,1.6740187118370424,3.0298365713261792,0.7717306478417434,67.29444444444445,87.2,87.2
AIME,≤ $10.00,10.0,18,2.638550051375102,0.26936327334937554,3.658889102808871e-08,2.067525420786243,3.209574681963961,0.8570815725909364,67.99444444444445,91.4,91.4
AIME,≤ $20.00,20.0,18,2.638550051375102,0.26936327334937554,3.658889102808871e-08,2.067525420786243,3.209574681963961,0.8570815725909364,67.99444444444445,91.4,91.4
AIME,≤ $50.00,50.0,18,2.638550051375102,0.26936327334937554,3.658889102808871e-08,2.067525420786243,3.209574681963961,0.8570815725909364,67.99444444444445,91.4,91.4
