Benchmark,Price Bucket,N (All),N (Frontier),Time Coef (logits/yr),Std Error,p-value,95% CI Lower,95% CI Upper,R²,Adj R²,Mean Score (%),Score Range,Price Range
GPQA-D,$0.00-$0.05,36,6,1.3434203508389255,0.19072655766162458,0.0021415768084378506,0.8138785333880822,1.8729621682897688,0.9253921861617869,0.9067402327022336,48.51833333333334,30.6-67.0%,$0.00-$0.05
GPQA-D,$0.05-$0.10,19,5,1.2702139343284653,0.15401454319034094,0.003732539312254479,0.7800709203923213,1.7603569482646093,0.9577577867115047,0.9436770489486729,46.896,36.5-64.1%,$0.05-$0.10
GPQA-D,$0.10-$0.50,18,6,1.4549445260968341,0.30926770702916084,0.009277525228713612,0.5962797147199737,2.313609337473695,0.8469318791324372,0.8086648489155465,56.42666666666667,26.3-70.7%,$0.10-$0.49
GPQA-D,$1.00-$2.00,20,9,0.8744567597296626,0.18657090585310948,0.002242381028922491,0.4332866711077658,1.3156268483515594,0.7583533362668042,0.7238323843049191,60.98777777777778,32.9-76.3%,$1.04-$2.00
GPQA-D,$2.00-$5.00,14,5,1.5852907878415323,0.2465787739423081,0.007628204727835763,0.8005670797473105,2.370014495935754,0.9323317079508816,0.9097756106011755,58.910000000000004,30.6-76.3%,$2.00-$4.40
GPQA-D,$5.00-$10.00,5,4,1.4206888653669825,0.1535544014946277,0.01148144591688638,0.7599976006192652,2.0813801301146997,0.9771689317665696,0.9657533976498545,72.28999999999999,47.2-85.4%,$6.78-$9.12
GPQA-D,$10.00-$20.00,6,3,2.6332634840967466,0.569021208796482,0.13548383742970005,-4.59683649424343,9.863363462436922,0.955388356946514,0.9107767138930281,81.26666666666667,75.8-86.2%,$10.18-$13.81
GPQA-D,$20.00-$50.00,9,3,1.3754910474319526,0.699346213130627,0.2994480551442802,-7.510545118254268,10.261527213118173,0.7945935960024694,0.5891871920049387,70.77333333333333,50.3-82.3%,$22.68-$49.21
GPQA-D,$50.00+,3,2,0.9230962889114553,inf,,,,1.0,1.0,79.3,76.8-81.8%,$55.34-$76.30
SWE-Bench,$20.00-$50.00,5,4,2.881852375335183,0.7797636895032785,0.0660419985411338,-0.4731999918240333,6.236904742494399,0.8722775484890397,0.8084163227335596,36.474999999999994,22.0-57.8%,$24.06-$48.68
SWE-Bench,$50.00+,16,6,1.100650910053144,0.3692721175223917,0.04071486983551509,0.07538714687207326,2.125914673234215,0.6895362329202357,0.6119202911502946,54.0,40.6-64.8%,$87.96-$1416.49
AIME,$0.00-$0.05,41,7,2.8413574411922604,0.4521057230297562,0.001498774975985162,1.6791826817847466,4.003532200599774,0.8876346248431125,0.865161549811735,11.685714285714287,1.8-31.1%,$0.00-$0.05
AIME,$0.05-$0.10,5,4,4.953732383569396,1.2738996198992611,0.06021930463156,-0.527415293349037,10.43488006048783,0.8831877553871889,0.8247816330807833,28.25,3.6-70.8%,$0.06-$0.09
AIME,$0.10-$0.50,27,6,3.7715383426960134,0.5777465975756427,0.002844239659375747,2.167456629812438,5.3756200555795886,0.9141906693552613,0.8927383366940767,27.71666666666667,2.5-74.2%,$0.10-$0.45
AIME,$0.50-$1.00,12,5,2.939676568134888,0.12145576925772472,0.00015458384798305858,2.553150104005184,3.326203032264592,0.9949050481289794,0.9932067308386392,59.42,8.5-81.1%,$0.52-$0.91
AIME,$1.00-$2.00,9,4,3.3477913058070974,1.1659071051299241,0.10290347873660899,-1.6687020826522976,8.364284694266493,0.8047821684628778,0.7071732526943166,52.625,32.2-86.7%,$1.10-$1.87
AIME,$2.00-$5.00,9,6,3.7924694387894524,0.7236435716493413,0.006336814904508881,1.7833127863757863,5.801626091203119,0.8728784957963047,0.8410981197453808,59.15,4.7-87.2%,$2.05-$4.61
AIME,$5.00-$10.00,3,3,8.178157329559022,3.6135546867960793,0.26487165309036476,-37.73640834716572,54.09272300628376,0.8366553440943699,0.6733106881887398,71.2,53.3-91.4%,$6.24-$9.60
