Benchmark,Restriction,Year Decrease Factor,90% CI,n,R²
GPQA,Pareto Restricted All License,6.754,"[2.908, 15.686]",55,0.8102
,Pareto Restricted Open License,2.778,"[1.531, 5.042]",43,0.8297
GPQA,All License (no restriction),2.909,"[1.712, 4.943]",166,0.6594
,Open License (no restriction),0.891,"[0.496, 1.600]",86,0.6295
AIME,Pareto Restricted All License,6.832,"[2.935, 15.901]",52,0.7413
,Pareto Restricted Open License,4.058,"[1.401, 11.756]",35,0.6612
AIME,All License (no restriction),4.611,"[2.500, 8.507]",138,0.6166
,Open License (no restriction),2.269,"[1.073, 4.799]",66,0.6137
SWE-Bench,Pareto Restricted All License,3.925,"[0.579, 26.598]",17,0.5447
,Pareto Restricted Open License,2.828,"[1.685, 4.747]",6,0.9987
SWE-Bench,All License (no restriction),0.857,"[0.263, 2.797]",31,0.2585
,Open License (no restriction),0.011,"[0.000, 0.731]",9,0.5632
