Benchmark,Restriction,Year Decrease Factor,90% CI,n,R²
GPQA,Pareto Restricted All License,9.026,"[3.907, 20.854]",57,0.8152
,Pareto Restricted Open License,3.968,"[2.187, 7.202]",43,0.8297
GPQA,All License (no restriction),4.415,"[2.578, 7.561]",163,0.6585
,Open License (no restriction),1.368,"[0.757, 2.473]",84,0.6000
AIME,Pareto Restricted All License,12.240,"[5.368, 27.908]",49,0.7870
,Pareto Restricted Open License,6.993,"[2.594, 18.852]",31,0.6629
AIME,All License (no restriction),5.692,"[3.102, 10.443]",132,0.6411
,Open License (no restriction),3.165,"[1.574, 6.365]",60,0.6380
SWE-Bench,Pareto Restricted All License,5.926,"[0.887, 39.611]",16,0.5172
,Pareto Restricted Open License,4.528,"[nan, nan]",3,1.0000
SWE-Bench,All License (no restriction),1.290,"[0.341, 4.878]",26,0.2013
,Open License (no restriction),0.248,"[0.000, 99266.244]",5,0.3222
ARC-AGI,Pareto Restricted All License,12.201,"[6.516, 22.847]",43,0.6870
,Pareto Restricted Open License,0.456,"[0.123, 1.681]",10,0.7631
ARC-AGI,All License (no restriction),3.313,"[1.963, 5.593]",86,0.5378
,Open License (no restriction),0.686,"[0.159, 2.952]",11,0.7846
